node_id,offset
64,9
9505,0
16094,0
18323,1
16929,0
15960,0
19298,2
176,16
2116,2
20405,0
293,8
7683,0
21235,1
13418,0
4552,0
6342,0
12811,0
4597,19
15652,0
20106,0
2207,0
22433,0
12283,0
6036,0
6934,0
1453,0
7261,0
12932,0
18268,0
3687,1
2695,0
278,7
14405,0
10590,1
10450,8
14166,0
19743,3
157,30
11770,0
5345,0
9712,0
12563,0
7999,0
12310,0
21476,0
22146,0
20811,0
9029,0
13412,0
5225,0
4032,0
3045,0
8820,0
18874,0
8593,0
8306,0
5732,3
11748,1
14156,0
18788,0
10626,3
17045,2
3534,0
4767,0
14315,0
6565,0
14616,0
10960,0
14453,0
207,1
20963,0
16503,0
16288,0
769,0
12286,9
10979,0
11187,0
3683,0
6783,0
11921,0
12865,0
17545,0
576,0
4592,24
18429,0
13858,0
31,7
20946,0
10647,0
10851,1
6093,0
3765,0
12272,4
20545,0
621,0
21916,9
18621,0
1582,1
8006,1
20666,0
14439,0
12007,0
3474,0
8812,0
14614,0
9252,0
19213,1
21583,0
15993,0
64,11
2649,0
15209,0
16475,0
16104,0
19670,3
5675,0
14930,0
14686,0
3647,0
22045,1
16730,0
16346,1
8121,0
19434,0
9882,0
5716,0
19555,0
9610,0
19506,0
2469,0
709,0
20582,0
13164,0
8576,0
9958,0
6552,2
17750,0
8095,0
15643,0
17050,1
6757,1
20515,0
20727,2
13226,0
14702,0
5690,0
11771,0
8172,0
3971,0
17616,0
10300,0
15314,0
19004,0
689,0
341,4
9048,0
5042,0
254,28
11977,1
8493,0
1585,1
11072,0
16900,0
21485,0
17109,0
5096,1
13467,1
19335,0
21701,1
14189,0
18556,3
14,7
4231,0
4821,0
15566,0
19210,2
19322,0
5470,0
14859,0
3823,0
9219,0
20649,0
14907,0
16169,2
19313,3
14859,0
13225,0
17482,0
5798,1
9311,0
5091,0
11560,0
9358,0
21147,0
12286,5
12750,0
15963,0
4423,0
27,17
334,21
15039,0
10056,0
9306,0
9776,7
18666,0
16582,0
5568,2
21930,3
14101,0
10098,0
6763,0
17149,0
17622,0
275,21
8407,0
10497,1
7649,0
5653,1
17455,7
2552,0
19464,0
2825,0
18602,0
2855,0
6316,0
17351,0
17812,1
13823,1
8616,0
161,3
12289,0
282,21
5648,0
16851,0
3725,1
9936,0
18237,0
341,9
6863,0
17669,0
5161,0
10371,0
19706,0
2220,0
20998,5
9714,0
7909,0
16719,0
7888,0
12893,3
11649,0
19038,0
15617,0
9123,0
19429,0
17707,1
17181,5
6105,0
4159,0
8020,7
199,25
8564,0
19350,0
2510,1
5498,0
19208,0
20827,2
1051,0
11706,0
9921,2
21571,0
2707,0
2573,0
575,3
14913,0
2063,0
335,18
7001,0
5345,0
10066,0
14275,0
3129,0
20495,0
13324,0
19103,0
3652,0
6619,0
7587,0
14024,1
18435,0
10838,0
2490,0
11308,0
20244,0
3237,0
12870,0
14980,0
12268,0
1529,0
719,0
3369,0
6375,0
20795,0
21984,0
17889,0
574,8
10988,0
20343,0
12986,0
2607,2
4181,0
9296,0
2666,0
5761,0
1865,0
5564,0
7369,0
16014,0
3321,0
21393,0
16560,0
5087,0
1968,0
3425,0
19420,0
16863,0
15262,2
13293,0
3018,0
20165,0
12168,0
15255,0
8818,1
190,0
7287,0
21062,0
6986,0
16294,0
7669,0
768,0
12043,0
22410,0
1772,0
20327,0
4594,24
273,9
4298,0
20213,8
6048,0
10191,2
21916,7
9821,1
15410,0
64,13
17064,0
13133,1
15738,0
8207,0
252,0
19704,0
13889,0
7657,0
1159,0
10306,0
1548,0
16877,0
7827,0
4932,1
3886,0
15107,0
5516,0
19553,0
13868,1
12644,0
7658,0
18272,0
21795,0
124,24
5689,0
1722,0
13900,0
4880,1
13847,0
4601,26
3499,0
6451,3
16905,0
7586,4
7799,0
604,0
13322,0
6072,1
21460,0
6996,1
1121,0
15646,0
19121,5
4508,0
18662,0
18371,0
19473,0
13924,0
9530,0
11540,0
575,16
21787,0
18220,0
9025,0
18208,3
22076,0
8055,0
175,21
21678,0
20055,1
14734,2
